Data Series,Market,Region,Country,Import (Million Dollars),Export (Million Dollars)
2003 Aug,Total All Markets,Asia,Sri Lanka,8.5,43.3
2003 Aug,Total All Markets,Asia,Syria,0,2.8
2003 Aug,Total All Markets,Asia,Taiwan,999.9,501.6
2003 Aug,Total All Markets,Asia,Thailand,732,391.5
2003 Aug,Total All Markets,Asia,Turkiye,6.1,7.9
2003 Aug,Total All Markets,Asia,United Arab Emirates,293.7,70.9
2003 Aug,Total All Markets,Asia,Viet Nam,132.8,152.6
2003 Aug,Total All Markets,Asia,Yemen,16.4,1.6
2003 Aug,Total All Markets,Europe,Austria,58.8,12.9
2003 Aug,Total All Markets,Europe,Belarus,0.2,0
2003 Aug,Total All Markets,Europe,Belgium,74.7,58.8
2003 Aug,Total All Markets,Europe,Bulgaria,0.6,0.1
2003 Aug,Total All Markets,Europe,Croatia,0,1.3
2003 Aug,Total All Markets,Europe,Cyprus,8.8,20.1
2003 Aug,Total All Markets,Europe,Czech Rep,19.9,9.5
2003 Aug,Total All Markets,Europe,Denmark,29.7,16.3
2003 Aug,Total All Markets,Europe,Estonia,0,0.6
2003 Aug,Total All Markets,Europe,Finland,46,14.5
2003 Aug,Total All Markets,Europe,France,343.2,202
2003 Aug,Total All Markets,Europe,Germany,712.7,293.2
2003 Aug,Total All Markets,Europe,Greece,3.8,20.4
2003 Aug,Total All Markets,Europe,Hungary,14.4,29.1
2003 Aug,Total All Markets,Europe,Ireland,142,88.3
2003 Aug,Total All Markets,Europe,Italy,222.5,24.7
2003 Aug,Total All Markets,Europe,Latvia,1,0
2003 Aug,Total All Markets,Europe,Lithuania,8.8,0
2003 Aug,Total All Markets,Europe,Luxembourg,1.1,3.6
2003 Aug,Total All Markets,Europe,Malta,84.2,23.5
2003 Aug,Total All Markets,Europe,NA,2840.2,1967.1
2003 Aug,Total All Markets,Europe,Netherlands,150.1,441.7
2003 Aug,Total All Markets,Europe,Norway,26.3,13.8
2003 Aug,Total All Markets,Europe,Other Markets Europe,0.7,0.8
2003 Aug,Total All Markets,Europe,Poland,3.5,19.1
2003 Aug,Total All Markets,Europe,Portugal,38.5,4.6
2003 Aug,Total All Markets,Europe,Romania,2.8,0.1
2003 Aug,Total All Markets,Europe,Russia,16.8,23.3
2003 Aug,Total All Markets,Europe,Slovakia,3.9,0.1
2003 Aug,Total All Markets,Europe,Slovenia,0.4,0.4
2003 Aug,Total All Markets,Europe,Spain,54.9,24.2
2003 Aug,Total All Markets,Europe,Svalbard And Jan Mayen Islands,0,0
2003 Aug,Total All Markets,Europe,Sweden,84.2,5.6
2003 Aug,Total All Markets,Europe,Switzerland,287.1,19.2
2003 Aug,Total All Markets,Europe,Ukraine,31.5,0
2003 Aug,Total All Markets,Europe,United Kingdom,367.1,595.1
2003 Aug,Total All Markets,NA,NA,19534.3,11785.1
2003 Aug,Total All Markets,Oceania,Antarctica,0,0
2003 Aug,Total All Markets,Oceania,Australia,257.1,405.9
2003 Aug,Total All Markets,Oceania,Fiji,0.2,21
2003 Aug,Total All Markets,Oceania,French Polynesia,0.1,0.3
2003 Aug,Total All Markets,Oceania,Guam,0.1,21.2
2003 Aug,Total All Markets,Oceania,Marshall Islands,0,14.6
2003 Aug,Total All Markets,Oceania,NA,296.1,558.6
2003 Aug,Total All Markets,Oceania,New Caledonia,0,14.4
2003 Aug,Total All Markets,Oceania,New Zealand,31.5,31.1
2003 Aug,Total All Markets,Oceania,Northern Mariana Islands,0,7.1
2003 Aug,Total All Markets,Oceania,Other Markets Oceania,0,10.1
2003 Aug,Total All Markets,Oceania,Papua New Guinea,6.6,28.7
2003 Aug,Total All Markets,Oceania,Samoa,0,0.5
2003 Aug,Total All Markets,Oceania,Solomon Islands,0.6,2.6
2003 Aug,Total All Markets,Oceania,Vanuatu,0,1.2
2003 Dec,Total All Markets,Africa,Algeria,0,0.5
2003 Dec,Total All Markets,Africa,Angola,0,1.3
2003 Dec,Total All Markets,Africa,Benin,0,0.9
2003 Dec,Total All Markets,Africa,Cameroon,0,0.6
2003 Dec,Total All Markets,Africa,Cape Verde,0,2.6
2003 Dec,Total All Markets,Africa,Comoros,0.2,0.1
2003 Dec,Total All Markets,Africa,"Congo, Dem Rep Of",0,2.2
2003 Dec,Total All Markets,Africa,Cote D'ivoire,3.3,0.3
2003 Dec,Total All Markets,Africa,Djibouti,0.1,0.4
2003 Dec,Total All Markets,Africa,Egypt,45.1,8.1
2003 Dec,Total All Markets,Africa,Ethiopia,0.1,0.6
2003 Dec,Total All Markets,Africa,Gabon,0,0.1
2003 Dec,Total All Markets,Africa,Ghana,0.9,0.6
2003 Dec,Total All Markets,Africa,Guinea,0,0.3
2003 Dec,Total All Markets,Africa,Kenya,0.8,2.6
2003 Dec,Total All Markets,Africa,Liberia,0,65.2
2003 Dec,Total All Markets,Africa,Libya,0,2.7
2003 Dec,Total All Markets,Africa,Madagascar,0.9,1.7
2003 Dec,Total All Markets,Africa,Mauritius,0.5,6
2003 Dec,Total All Markets,Africa,Morocco,43.7,26.7
2003 Dec,Total All Markets,Africa,Mozambique,0,0.4
2003 Dec,Total All Markets,Africa,NA,190.4,162.4
2003 Dec,Total All Markets,Africa,Nigeria,18.5,6.5
2003 Dec,Total All Markets,Africa,Other Markets Africa,5.4,6.2
2003 Dec,Total All Markets,Africa,Reunion,0.2,0.4
2003 Dec,Total All Markets,Africa,Seychelles,0.1,3.3
2003 Dec,Total All Markets,Africa,Sierra Leone,0,0.1
2003 Dec,Total All Markets,Africa,Somalia,0,0.4
2003 Dec,Total All Markets,Africa,South Africa,48.7,16.8
2003 Dec,Total All Markets,Africa,Sudan,18.4,3.3
2003 Dec,Total All Markets,Africa,Swaziland,1.1,0
2003 Dec,Total All Markets,Africa,Tanzania,1.8,1.2
2003 Dec,Total All Markets,Africa,Tunisia,0.3,0.3
2003 Dec,Total All Markets,Africa,Zambia,0.3,0
2003 Dec,Total All Markets,Africa,Zimbabwe,0.1,0
2003 Dec,Total All Markets,America,Antigua And Barbuda,0,7.4
2003 Dec,Total All Markets,America,Argentina,2.2,2.9
2003 Dec,Total All Markets,America,Bahamas,0.4,20.4
2003 Dec,Total All Markets,America,Bermuda,0,1.6
2003 Dec,Total All Markets,America,Brazil,62.5,15.4
2003 Dec,Total All Markets,America,Canada,87.9,40.9
2003 Dec,Total All Markets,America,Chile,9.3,1.3
2003 Dec,Total All Markets,America,Colombia,2.9,3.1
2003 Dec,Total All Markets,America,Costa Rica,14.5,0.6
2003 Dec,Total All Markets,America,Cuba,0.3,0.1
2003 Dec,Total All Markets,America,Dominican Rep,0.2,0.4
2003 Dec,Total All Markets,America,Ecuador,0.7,0.5
2003 Dec,Total All Markets,America,El Salvador,1.6,0.3
2003 Dec,Total All Markets,America,Guatemala,2.2,0.6
2003 Dec,Total All Markets,America,Guyana,0,0
2003 Dec,Total All Markets,America,Honduras,0,0.4
2003 Dec,Total All Markets,America,Jamaica,0.1,0
2003 Dec,Total All Markets,America,Mexico,44.2,61.9
2003 Dec,Total All Markets,America,NA,2649.3,2387.9
2003 Dec,Total All Markets,America,Netherlands Antilles,0.1,1
2003 Dec,Total All Markets,America,Other Markets America,0.1,2.2
2003 Dec,Total All Markets,America,Panama,1.3,158.4
2003 Dec,Total All Markets,America,Paraguay,0.3,0
2003 Dec,Total All Markets,America,Peru,0.7,0.4
2003 Dec,Total All Markets,America,Puerto Rico,23.8,305.7
2003 Dec,Total All Markets,America,St. Vincent And The Grenadines,0,5.7
2003 Dec,Total All Markets,America,Trinidad And Tobago,8.6,0.1
2003 Dec,Total All Markets,America,United States,2384.6,1756.1
2003 Dec,Total All Markets,America,United States Virgin Islands,0.1,0
2003 Dec,Total All Markets,America,Uruguay,0.5,0.1
